parachute diameter [m] ,wheel radius [m]    ,chassis mass [kg]  ,speed reducer gear diameter (d2) [m] ,rocket fuel mass [kg] ,Time               ,Feasible ,constraint_distance     ,constraint_strength ,constraint_velocity ,constraint_cost    ,constraint_battery
    14.0               ,0.2                 ,250.0              ,                 0.05                ,   100.0              ,2679.429085560392  ,False    ,0.0                     ,-5.25               ,-0.9999517819409479 ,2.9505469500035972 ,-0.8137583554086883
    14.0               ,0.20000006610464904 ,250.0000000006593  ,                 0.05000002134569004 ,   194.99997579046035 ,2310.507745861762  ,False    ,0.0                     ,-5.250000000016482  ,-0.9999692564460568 ,2.9703386319678886 ,-0.8137588310204916
    14.000000000000488 ,0.2000001022915986  ,250.00000125276605 ,                 0.05000003260526986 ,   289.9999592149441  ,2206.2664938943853 ,False    ,0.0                     ,-5.250000031319152  ,139.6667773959116   ,2.9901303234064343 ,-0.8137588096422569
    14.0               ,0.20000000000046197 ,250.00000000000114 ,                 0.05                ,   101.96544515793032 ,2674.1710477375127 ,False    ,0.0                     ,-5.250000000000028  ,-0.9999520427700487 ,2.9509564177448873 ,-0.8137583558928339
    14.01750085997206  ,0.7                 ,250.00674894616245 ,                 0.05                ,   290.0              , 763.5059546838391 ,False    ,0.0                     ,-5.250168723654061  ,139.14948934233922  ,2.996527505445252  ,-0.8634832473821982
    14.040276912801843 ,0.20000000000000737 ,250.0              ,                 0.0500027278957761  ,   289.0359518008768  ,2206.6976721942624 ,False    ,1.1368683772161603e-16  ,-5.25               ,137.7409348826573   ,2.99005453017333   ,-0.8137493008965906
    14.00000000000854  ,0.2000010385352377  ,250.0              ,                 0.05000000000061949 ,   101.99405754317539 ,2674.0833532573065 ,False    ,-1.1368683772161603e-16 ,-5.25               ,-0.9999520465952567 ,2.950962465203934  ,-0.8137588797309958
    14.00003363118252  ,0.20000336311825193 ,250.00000000000145 ,                 0.05000000000020824 ,   200.49971629297858 ,2219.5240795177297 ,False    ,-1.1368683772161603e-16 ,-5.250000000000036  ,27.004487499287084  ,2.9714847738834242 ,-0.8137605702592119
    14.155232764435102 ,0.2000000000003217  ,250.0              ,                 0.05                ,   289.0855280112168  ,2206.894848920182  ,False    ,-1.1368683772161603e-16 ,-5.25               ,134.38765264345795  ,2.9904165284353783 ,-0.8137583560532354
    14.000000002609351 ,0.6999999694589297  ,502.52926471568423 ,                 0.05000083174141046 ,   102.77768144211997 ,1206.294943659335  ,False    ,0.0                     ,-11.563231617892106 ,-0.9999569783811064 ,6.464727110077295  ,-0.8042804577723568
    14.0               ,0.7                 ,502.4865955476459  ,                 0.05                ,   100.0615589687997  ,1214.4971712674364 ,False    ,-1.1368683772161603e-16 ,-11.562164888691147 ,-0.9999565333152178 ,6.463568046283845  ,-0.8042892587521251
    14.15394265596177  ,0.699347111140467   ,502.47963273579273 ,                 0.05                ,   289.5944532382611  , 833.7930924827127 ,False    ,0.0                     ,-11.561990818394818 ,157.20778560030865  ,6.50343013637717   ,-0.804340139370573
14.000012777869907,0.2053912063561613,524.9664577918091,0.050766251980476684,102.7378540543376,2632.420000621172,False,0.0,-12.124161444795227,-0.999957440863895,6.771093639014901,-0.7752164774498995
14.000001767279718,0.20000080868795067,524.8602649950278,0.05005594447956355,194.6852133393982,2273.321535172557,False,-1.1368683772161603e-16,-12.121506624875694,81.68864453944579,6.787815661458901,-0.7747836999047145
14.024316542288188,0.20000000008428628,525.0796301924923,0.050000000675543936,289.5801231636098,2260.6774109861094,False,0.0,-12.12699075481231,162.75837675546413,6.810667563964518,-0.774901705087589
14.0,0.2107783263571384,523.6426684773324,0.05,101.3567626129961,2525.9163681852706,False,1.1368683772161603e-16,-12.091066711933312,-0.9999571808129055,6.752369695161937,-0.7795992422278211
14.020803674216285,0.20025977315822846,523.9363539675554,0.05,194.38845572225156,2266.18398516356,False,0.0,-12.098408849188885,80.37707391057856,6.774968058805417,-0.7751902538794824
